"passenger_count","avg_distance"
0,6.219555555555553
1,6.232199027496321
2,8.837375815073306
3,3.39632369033575
4,4.353081882981169
5,3.0610012359396426
6,2.979568506695784
7,8.997
8,11.068461538461538
9,7.495
